bin,left,right,data,expected
119,0.18999999999999997,0.19999999999999998,0.0,1.6787002136719755e-07
120,0.19999999999999998,0.20999999999999994,0.0,1.8981672273760061e-07
121,0.20999999999999994,0.21999999999999995,0.0,2.1512915308406256e-07
122,0.21999999999999995,0.23,0.0,2.4438785482818565e-07
123,0.23,0.23999999999999996,0.0,2.782834357528374e-07
124,0.23999999999999996,0.25,0.0,3.1763915302952394e-07
125,0.25,0.26,0.0,3.63438444027141e-07
126,0.26,0.27,0.0,4.1685858429577886e-07
127,0.27,0.28,0.0,4.793118649763782e-07
128,0.28,0.29000000000000004,0.0,5.524961089783594e-07
129,0.29000000000000004,0.30000000000000004,0.0,6.384567544483415e-07
130,0.30000000000000004,0.31000000000000005,0.0,7.396632711588378e-07
131,0.31000000000000005,0.32,0.0,8.591034481662864e-07
132,0.32,0.3300000000000001,0.0,1.0003998846525823e-06
133,0.3300000000000001,0.3400000000000001,0.0,1.1679542543118216e-06
134,0.3400000000000001,0.35000000000000003,0.0,1.367126214201651e-06
135,0.35000000000000003,0.3600000000000001,0.0,1.6044557449520682e-06
136,0.3600000000000001,0.37000000000000016,0.0,1.887939921507518e-06
137,0.37000000000000016,0.3800000000000001,0.0,2.2273780383857043e-06
138,0.3800000000000001,0.3900000000000001,0.0,2.6348027323258615e-06
139,0.3900000000000001,0.40000000000000013,0.0,3.125019379245366e-06
140,0.40000000000000013,0.4099999999999999,0.0,3.7162821121543195e-06
141,0.4099999999999999,0.4199999999999999,0.0,4.431142296698206e-06
142,0.4199999999999999,0.4299999999999999,0.0,5.297515150166511e-06
143,0.4299999999999999,0.43999999999999995,0.0,6.3500224240090855e-06
144,0.43999999999999995,0.45,0.0,7.631684932219975e-06
145,0.45,0.4599999999999999,0.0,9.19605879083611e-06
146,0.4599999999999999,0.47,0.0,1.1109934864349468e-05
147,0.47,0.48,0.0,1.3456753588198499e-05
148,0.48,0.49,0.0,1.6340928947441427e-05
149,0.49,0.5,0.0,1.989332828510746e-05
150,0.5,0.51,0.0,2.4278221861454308e-05
151,0.51,0.52,0.0,2.9702101345147367e-05
152,0.52,0.53,0.0,3.6424874364655456e-05
153,0.53,0.54,0.0,4.477407847729509e-05
154,0.54,0.55,0.0,5.5162929511048295e-05
155,0.55,0.56,0.0,6.811323423626576e-05
156,0.56,0.5700000000000001,0.0,8.42844659836346e-05
157,0.5700000000000001,0.5800000000000001,0.0001284473859996278,0.00010451063525661096
158,0.5800000000000001,0.5900000000000001,0.0,0.00012984699908072823
159,0.5900000000000001,0.6000000000000001,0.0,0.00016162915687271455
160,0.6000000000000001,0.6100000000000001,0.00011987407541028388,0.0002015476924175775
161,0.6100000000000001,0.6200000000000001,0.0,0.0002517422556203058
162,0.6200000000000001,0.6300000000000001,0.0,0.0003149198464903092
163,0.6300000000000001,0.6400000000000001,0.00011187299643071049,0.00039450307422328815
164,0.6400000000000001,0.6500000000000001,0.0,0.0004948153130410584
165,0.6500000000000001,0.6600000000000001,0.0,0.0006213109437073244
166,0.6600000000000001,0.6699999999999999,0.0,0.0007808602089240375
